timestamp,uptime,event,value,qoe_score,avg_bitrate_mbps,rebuff_ratio_percent,switch_count,total_stall_sec
2026-05-12T15:26:05.665Z,1.02,SWITCH,0.56 Mbps,0.00,0.00,0.00,0,0.00
2026-05-12T15:26:32.264Z,27.62,STALL_START,-,0.54,0.54,0.00,0,0.00
2026-05-12T15:26:37.534Z,32.89,STALL_END,5.27s,-6.37,0.54,13.81,0,5.27
2026-05-12T15:26:52.624Z,47.98,STALL_START,-,-4.40,0.54,9.90,0,5.27
2026-05-12T15:26:58.298Z,53.66,STALL_END,5.67s,-7.92,0.55,16.94,0,10.94
2026-05-12T15:27:11.155Z,66.51,STALL_START,-,-6.52,0.55,14.13,0,10.94
2026-05-12T15:27:18.173Z,73.53,STALL_END,7.02s,-9.27,0.55,19.63,0,17.96
2026-05-12T15:27:30.297Z,85.66,STALL_START,-,-8.12,0.55,17.33,0,17.96
2026-05-12T15:27:36.919Z,92.28,STALL_END,6.62s,-9.97,0.55,21.04,0,24.58
2026-05-12T15:27:51.012Z,106.37,STALL_START,-,-8.83,0.55,18.77,0,24.58
2026-05-12T15:27:55.703Z,111.06,STALL_END,4.69s,-9.88,0.55,20.86,0,29.28
2026-05-12T15:28:10.428Z,125.79,STALL_START,-,-8.89,0.55,18.88,0,29.28
2026-05-12T15:28:15.594Z,130.95,STALL_END,5.17s,-9.86,0.55,20.82,0,34.44
2026-05-12T15:28:25.839Z,141.20,STALL_START,-,-9.25,0.55,19.61,0,34.44
2026-05-12T15:28:30.301Z,145.66,STALL_END,4.46s,-9.99,0.55,21.08,0,38.90
2026-05-12T15:28:57.184Z,172.54,STALL_START,-,-8.65,0.55,18.40,0,38.90
2026-05-12T15:29:01.270Z,176.63,STALL_END,4.09s,-9.23,0.55,19.57,0,42.99
2026-05-12T15:29:30.099Z,205.46,STALL_START,-,-8.10,0.55,17.30,0,42.99
2026-05-12T15:29:36.386Z,211.75,STALL_END,6.29s,-8.88,0.55,18.88,0,49.28
2026-05-12T15:29:48.715Z,224.07,STALL_START,-,-8.46,0.55,18.03,0,49.28
2026-05-12T15:29:54.589Z,229.95,STALL_END,5.87s,-9.12,0.55,19.34,0,55.15
2026-05-12T15:30:07.252Z,242.61,STALL_START,-,-8.71,0.55,18.52,0,55.15
2026-05-12T15:30:13.818Z,249.18,STALL_END,6.57s,-9.37,0.55,19.85,0,61.72
