"type","duration","time"
"NDN","45","7:47:12 PM"
"NDN","16","7:47:12 PM"
"NDN","43","7:47:12 PM"
"NDN","59","7:47:12 PM"
"NDN","73","7:47:12 PM"
"NDN","44","7:47:12 PM"
"NDN","43","7:47:12 PM"
"NDN","137","7:47:13 PM"
"NDN","44","7:47:13 PM"
"NDN","39","7:47:13 PM"
"NDN","41","7:47:14 PM"
"NDN","40","7:47:14 PM"
"NDN","44","7:47:14 PM"
"NDN","49","7:47:14 PM"
"NDN","44","7:47:15 PM"
"NDN","44","7:47:15 PM"
"NDN","40","7:47:15 PM"
"NDN","40","7:47:16 PM"
"NDN","43","7:47:16 PM"
"NDN","44","7:47:16 PM"
"NDN","10","7:47:16 PM"
"NDN","44","7:47:17 PM"
"NDN","41","7:47:17 PM"
"NDN","62","7:47:17 PM"
"NDN","39","7:47:17 PM"
"NDN","40","7:47:17 PM"
"NDN","39","7:47:17 PM"
"NDN","61","7:47:17 PM"
"NDN","61","7:47:17 PM"
"NDN","39","7:47:18 PM"
"NDN","39","7:47:18 PM"
"NDN","605","7:47:19 PM"
"NDN","67","7:47:19 PM"
"NDN","53","7:47:19 PM"
"NDN","63","7:47:19 PM"
"NDN","43","7:47:20 PM"
"NDN","40","7:47:20 PM"
"NDN","56","7:47:20 PM"
"NDN","54","7:47:20 PM"
"NDN","43","7:47:20 PM"
"NDN","20","7:47:20 PM"
"NDN","47","7:47:21 PM"
"NDN","46","7:47:21 PM"
"NDN","40","7:47:21 PM"
"NDN","38","7:47:21 PM"
"NDN","37","7:47:21 PM"
"NDN","49","7:47:22 PM"
"NDN","48","7:47:22 PM"
"NDN","37","7:47:22 PM"
"NDN","43","7:47:23 PM"
"NDN","69","7:47:23 PM"
"NDN","38","7:47:23 PM"
"NDN","38","7:47:24 PM"
"NDN","88","7:47:24 PM"
"NDN","37","7:47:24 PM"
"NDN","45","7:47:25 PM"
"NDN","54","7:47:25 PM"
"NDN","49","7:47:25 PM"
"NDN","81","7:47:25 PM"
"NDN","42","7:47:25 PM"
"NDN","45","7:47:26 PM"
"NDN","40","7:47:27 PM"
"NDN","50","7:47:27 PM"
"NDN","47","7:47:27 PM"
"NDN","38","7:47:27 PM"
"NDN","102","7:47:28 PM"
"NDN","38","7:47:29 PM"
"NDN","83","7:47:29 PM"
"NDN","42","7:47:30 PM"
"NDN","64","7:47:30 PM"
"NDN","46","7:47:31 PM"
"NDN","40","7:47:31 PM"
"NDN","43","7:47:31 PM"
"NDN","59","7:47:32 PM"
"NDN","59","7:47:32 PM"
"NDN","40","7:47:32 PM"
"NDN","41","7:47:33 PM"
"NDN","38","7:47:33 PM"
"NDN","44","7:47:34 PM"
"NDN","41","7:47:34 PM"
"NDN","57","7:47:34 PM"
"NDN","35","7:47:34 PM"
"NDN","45","7:47:35 PM"
"NDN","38","7:47:35 PM"
"NDN","41","7:47:36 PM"
"NDN","39","7:47:36 PM"
"NDN","43","7:47:36 PM"
"NDN","80","7:47:37 PM"
"NDN","59","7:47:37 PM"
"NDN","71","7:47:38 PM"
"NDN","52","7:47:38 PM"
"NDN","40","7:47:38 PM"
"NDN","38","7:47:39 PM"
"NDN","32","7:47:39 PM"
"NDN","42","7:47:39 PM"
"NDN","48","7:47:40 PM"
"NDN","36","7:47:40 PM"
"NDN","40","7:47:40 PM"
"NDN","87","7:47:41 PM"
"NDN","57","7:47:41 PM"
"NDN","44","7:47:42 PM"
"NDN","78","7:47:42 PM"
"NDN","134","7:47:42 PM"
"NDN","52","7:47:42 PM"
"NDN","43","7:47:43 PM"
"NDN","20","7:47:43 PM"
"NDN","36","7:47:43 PM"
"NDN","37","7:47:44 PM"
"NDN","39","7:47:44 PM"
"NDN","40","7:47:44 PM"
"NDN","42","7:47:45 PM"
"NDN","55","7:47:45 PM"
"NDN","43","7:47:46 PM"
"NDN","50","7:47:46 PM"
"NDN","56","7:47:46 PM"
"NDN","42","7:47:46 PM"
"NDN","37","7:47:46 PM"
"NDN","58","7:47:47 PM"
"NDN","44","7:47:47 PM"
"NDN","2","7:47:47 PM"
"NDN","38","7:47:47 PM"
"NDN","40","7:47:48 PM"
"NDN","41","7:47:49 PM"
"NDN","68","7:47:49 PM"
"NDN","44","7:47:49 PM"
"NDN","37","7:47:49 PM"
"NDN","38","7:47:50 PM"
"NDN","44","7:47:50 PM"
"NDN","35","7:47:51 PM"
"NDN","43","7:47:51 PM"
"NDN","42","7:47:51 PM"
"NDN","37","7:47:52 PM"
"NDN","38","7:47:52 PM"
