timestamp,uptime,event,value,qoe_score,avg_bitrate_mbps,rebuff_ratio_percent,switch_count,total_stall_sec
2026-05-12T15:21:38.328Z,0.59,SWITCH,0.95 Mbps,0.00,0.00,0.00,0,0.00
2026-05-12T15:21:41.757Z,4.02,SWITCH,0.56 Mbps,-0.68,0.81,0.00,1,0.00
2026-05-12T15:22:41.426Z,63.69,SWITCH,0.95 Mbps,0.38,0.57,0.00,2,0.00
2026-05-12T15:22:48.944Z,71.20,STALL_START,-,0.44,0.61,0.00,2,0.00
2026-05-12T15:22:49.631Z,71.89,SWITCH,0.56 Mbps,-0.11,0.62,0.95,3,0.69
2026-05-12T15:22:54.761Z,77.02,STALL_END,5.82s,-3.13,0.61,7.02,3,5.82
2026-05-12T15:23:01.712Z,83.97,SWITCH,0.95 Mbps,-2.92,0.61,6.48,4,5.82
2026-05-12T15:23:10.628Z,92.89,SWITCH,0.56 Mbps,-2.63,0.64,5.89,5,5.82
2026-05-12T15:23:10.950Z,93.21,STALL_START,-,-2.62,0.64,5.87,5,5.82
2026-05-12T15:23:15.499Z,97.76,STALL_END,4.55s,-4.46,0.64,9.59,5,10.37
2026-05-12T15:23:35.418Z,117.68,STALL_START,-,-3.68,0.62,8.10,5,10.37
2026-05-12T15:23:42.909Z,125.17,STALL_END,7.49s,-5.86,0.62,12.48,5,17.86
2026-05-12T15:24:00.952Z,143.21,STALL_START,-,-5.14,0.61,11.09,5,17.86
2026-05-12T15:24:04.279Z,146.54,STALL_END,3.33s,-5.91,0.61,12.63,5,21.18
2026-05-12T15:24:27.267Z,169.53,STALL_START,-,-5.13,0.60,11.11,5,21.18
2026-05-12T15:24:34.594Z,176.85,STALL_END,7.33s,-6.51,0.60,13.88,5,28.51
