#{"t_start": 1773141266.0221307, "env_id": "None"}
r,l,t
-986.914322,100,0.036369
-897.165985,100,0.066033
209.5,100,0.099173
266.0,100,0.126391
-1126.775757,100,0.153754
157.0,100,0.182188
-1807.624329,100,0.21999
211.5,100,0.252044
61.5,100,0.280006
-1738.555847,100,0.309026
209.5,100,0.338159
62.0,100,0.365046
234.0,100,0.391941
196.5,100,0.419376
133.5,100,0.44913
257.5,100,0.478026
109.0,100,0.510867
149.5,100,0.542827
32.193394,100,0.572217
118.5,100,0.603648
244.0,100,1.088179
225.0,100,1.117889
179.5,100,1.150608
-2636.948578,100,1.179654
191.0,100,1.210185
249.0,100,1.241474
-1071.611008,100,1.272261
-1133.96312,100,1.30086
193.0,100,1.330003
50.0,100,1.359394
260.0,100,1.387831
-2005.205688,100,1.420471
68.0,100,1.453192
195.5,100,1.48543
206.5,100,1.518594
208.5,100,1.549598
185.5,100,1.58343
112.5,100,1.615913
173.0,100,1.646719
139.0,100,1.674852
208.545216,100,2.129909
329.5,100,2.162897
265.0,100,2.193951
242.5,100,2.229819
251.5,100,2.265364
211.5,100,2.297749
344.5,100,2.331049
189.0,100,2.360633
234.5,100,2.391834
257.5,100,2.425415
78.0,100,2.459857
246.0,100,2.491228
240.5,100,2.51942
-368.656219,100,2.546665
217.5,100,2.573358
126.5,100,2.600216
-713.377243,100,2.626773
-110.043335,100,2.65365
220.0,100,2.688271
239.5,100,2.717974
98.5,100,2.747892
264.5,100,3.221991
62.0,100,3.255409
312.0,100,3.288957
242.0,100,3.32229
358.5,100,3.352398
340.5,100,3.383867
347.5,100,3.415752
291.0,100,3.446046
286.0,100,3.477432
230.0,100,3.510169
-53.21785,100,3.539405
296.0,100,3.568195
314.5,100,3.597431
278.5,100,3.630139
328.0,100,3.6613
228.0,100,3.691391
127.5,100,3.719186
278.0,100,3.750186
260.5,100,3.781151
280.5,100,3.810994
109.0,100,4.291142
-1368.398605,100,4.323032
422.0,100,4.355659
349.0,100,4.388943
348.290573,100,4.421661
347.0,100,4.452663
-37.901001,100,4.483063
396.0,100,4.510216
-288.03051,100,4.539291
347.0,100,4.56996
429.0,100,4.601133
-1295.319901,100,4.631444
64.0,100,4.660253
375.5,100,4.689937
-642.379883,100,4.718364
382.5,100,4.748534
401.5,100,4.778692
355.0,100,4.809221
255.0,100,4.843091
371.5,100,4.879509
376.0,100,4.915863
481.5,100,5.371254
-944.335159,100,5.402112
210.063412,100,5.4322
78.0,100,5.459937
280.304337,100,5.486991
359.5,100,5.514525
463.0,100,5.542396
-843.804008,100,5.569702
-1829.196213,100,5.596489
396.0,100,5.62491
145.831505,100,5.655458
440.5,100,5.685953
405.5,100,5.713627
-397.849045,100,5.741395
-371.060028,100,5.769903
478.5,100,5.798856
-1103.24276,100,5.832061
-754.113846,100,5.859255
-1218.856819,100,5.88824
-1277.084274,100,5.921098
457.0,100,6.382254
366.5,100,6.41136
-3673.303207,100,6.44232
331.5,100,6.47186
221.45993,100,6.499536
48.390146,100,6.528033
324.5,100,6.557309
214.032196,100,6.588709
364.0,100,6.617582
-98.65963,100,6.645852
134.0,100,6.676409
329.0,100,6.704744
48.0,100,6.732141
-846.342224,100,6.762888
346.5,100,6.791428
-118.513945,100,6.820761
347.0,100,6.853135
380.5,100,6.886049
126.0,100,6.91643
389.0,100,6.947952
339.5,100,6.978636
23.837959,100,7.439535
126.0,100,7.468376
197.5,100,7.496759
363.0,100,7.528183
35.458132,100,7.556397
378.049347,100,7.585174
303.0,100,7.615192
-1178.618256,100,7.648214
354.5,100,7.680638
274.0,100,7.711497
308.0,100,7.743959
347.0,100,7.776038
292.5,100,7.804311
316.5,100,7.834324
86.0,100,7.864198
209.0,100,7.896214
245.5,100,7.928489
322.0,100,7.95755
319.5,100,7.991451
326.5,100,8.021972
317.0,100,8.486541
418.0,100,8.513167
91.0,100,8.540616
377.5,100,8.569405
286.753937,100,8.599922
-1137.575882,100,8.631335
367.0,100,8.660863
351.0,100,8.690396
302.555603,100,8.721698
-62.118179,100,8.752095
-2739.727348,100,8.788574
264.5,100,8.819373
388.0,100,8.854634
395.5,100,8.89667
358.0,100,8.933282
512.5,100,8.972472
127.5,100,9.002829
465.0,100,9.033524
-123.994247,100,9.065498
399.0,100,9.10256
63.567581,100,9.135563
446.5,100,9.589127
294.874123,100,9.619166
-2112.811028,100,9.650803
423.0,100,9.683924
160.0,100,9.713966
-304.050583,100,9.745679
444.5,100,9.77785
402.0,100,9.807954
-94.347946,100,9.836975
418.0,100,9.865658
148.0,100,9.897411
414.5,100,9.928036
-8573.182936,100,9.957608
264.5,100,9.985852
370.0,100,10.019444
389.5,100,10.049002
402.5,100,10.077804
488.0,100,10.108665
336.0,100,10.136851
320.5,100,10.164723
-2101.047852,100,10.634113
378.5,100,10.662481
-2275.58506,100,10.692631
88.72377,100,10.721969
421.0,100,10.753056
353.0,100,10.781716
371.0,100,10.810654
327.0,100,10.844699
373.5,100,10.87636
-3.306549,100,10.90635
355.0,100,10.934845
-371.14415,100,10.964104
393.5,100,10.996356
454.0,100,11.024784
408.5,100,11.053859
-421.128546,100,11.083566
450.5,100,11.11285
438.5,100,11.142297
-1721.742516,100,11.169631
379.0,100,11.197076
364.0,100,11.226598
-236.407135,100,11.687127
328.0,100,11.717103
140.0,100,11.749081
330.5,100,11.779728
-4227.022064,100,11.810884
311.5,100,11.84051
-5.227402,100,11.872273
371.5,100,11.902203
-91.871552,100,11.93359
414.5,100,11.966256
365.0,100,11.994805
-738.813568,100,12.023994
431.5,100,12.053643
359.5,100,12.08354
-7121.48366,100,12.111813
-1389.046799,100,12.142315
-912.429533,100,12.174798
426.0,100,12.209576
344.5,100,12.244576
374.0,100,12.274677
297.0,100,12.724633
-205.905396,100,12.759848
-2240.954182,100,12.794087
358.5,100,12.823893
147.0,100,12.856195
392.0,100,12.888011
409.0,100,12.916639
-161.839233,100,12.947487
393.0,100,12.978092
111.919613,100,13.009552
-1370.583923,100,13.037123
355.5,100,13.06693
422.5,100,13.094664
376.5,100,13.128087
381.0,100,13.161569
149.0,100,13.191653
371.0,100,13.222353
288.5,100,13.252197
294.994545,100,13.279836
327.5,100,13.307677
-8.734192,100,13.335894
337.5,100,13.784875
378.5,100,13.819651
399.0,100,13.853498
359.5,100,13.88364
322.5,100,13.916292
184.0,100,13.950853
388.0,100,13.980571
246.0,100,14.014483
303.0,100,14.047952
340.5,100,14.078923
-758.745872,100,14.110978
320.5,100,14.143135
326.0,100,14.172373
-1589.82399,100,14.203467
420.0,100,14.234301
205.745832,100,14.267132
238.0,100,14.299737
350.5,100,14.329567
324.5,100,14.358146
56.0,100,14.389524
353.5,100,14.861872
451.0,100,14.891351
-431.523121,100,14.920111
-880.227623,100,14.953444
73.170334,100,14.992246
-755.835701,100,15.02542
-1083.297302,100,15.055667
424.5,100,15.085899
423.5,100,15.120524
-40.782452,100,15.153721
392.0,100,15.181901
492.5,100,15.209666
292.746269,100,15.241371
-658.561913,100,15.272029
422.0,100,15.302967
431.5,100,15.335806
156.971741,100,15.36798
401.0,100,15.39864
190.0,100,15.427618
-15.347351,100,15.458522
463.5,100,15.491056
-900.286346,100,15.956595
348.0,100,15.990559
463.5,100,16.023272
420.0,100,16.055111
394.0,100,16.082121
431.0,100,16.110876
309.5,100,16.143702
418.0,100,16.176605
464.0,100,16.208527
356.5,100,16.243337
311.5,100,16.28012
134.0,100,16.316612
426.0,100,16.351851
435.5,100,16.385447
-2092.33609,100,16.418874
317.0,100,16.455109
417.0,100,16.490308
426.5,100,16.523604
377.0,100,16.559094
350.5,100,16.593392
382.0,100,17.062196
361.5,100,17.091711
363.5,100,17.121466
-1676.601795,100,17.156816
348.0,100,17.186039
256.242203,100,17.218177
349.0,100,17.251153
342.5,100,17.28657
-175.511169,100,17.320834
-79.782013,100,17.355267
305.5,100,17.38831
-833.620819,100,17.420759
344.0,100,17.451998
359.0,100,17.486434
-555.735584,100,17.517622
71.033043,100,17.550488
292.5,100,17.587081
414.5,100,17.622787
432.0,100,17.659718
393.5,100,17.690212
-4314.383682,100,17.722067
341.5,100,18.200774
337.5,100,18.232886
351.0,100,18.263497
355.0,100,18.292515
-702.698822,100,18.320301
322.5,100,18.349775
112.0,100,18.379978
378.0,100,18.407626
383.5,100,18.436113
334.0,100,18.467004
313.5,100,18.49788
-749.823257,100,18.531657
50.0,100,18.562665
408.5,100,18.593531
34.296448,100,18.628774
381.5,100,18.663775
286.5,100,18.695529
279.5,100,18.729956
60.0,100,18.764657
328.5,100,18.79616
377.5,100,19.256663
427.0,100,19.288258
456.0,100,19.322182
180.822027,100,19.35692
329.5,100,19.387021
482.5,100,19.421293
220.0,100,19.452962
338.5,100,19.482557
389.5,100,19.513055
70.218761,100,19.54292
376.0,100,19.57408
416.5,100,19.605877
367.5,100,19.636273
420.0,100,19.667063
386.5,100,19.700552
283.537529,100,19.730939
272.464262,100,19.761602
222.5,100,19.795048
487.5,100,19.826105
440.0,100,19.857588
434.5,100,19.888528
271.0,100,20.34214
458.0,100,20.373331
123.0,100,20.407594
