#{"t_start": 1779328145.9176924, "env_id": "None"}
r,l,t
-502.126552,100,2.2637
147.36091,100,2.495757
165.003126,100,2.74784
-1013.887559,100,2.986429
176.280589,100,3.220632
177.814756,100,3.471222
170.068248,100,3.665039
138.572948,100,3.875093
171.919973,100,4.078157
167.101416,100,4.285212
-1588.506947,100,4.503274
170.525986,100,4.755233
180.136668,100,4.980553
172.836676,100,5.192618
177.041044,100,5.407681
168.861363,100,5.652753
135.78949,100,5.881329
158.952506,100,6.095386
146.03985,100,6.269449
179.230849,100,6.456988
162.181474,100,13.960848
-4625.889404,100,14.158911
177.916938,100,14.347955
182.908775,100,14.531996
170.615123,100,14.735057
178.763128,100,14.934104
168.938732,100,15.137161
117.542743,100,15.331872
-7878.243316,100,15.524922
181.456825,100,15.716986
174.760673,100,15.917714
203.357482,100,16.131799
148.766142,100,16.328845
167.145075,100,16.544922
173.149615,100,16.767516
168.351681,100,16.990578
166.804843,100,17.179632
159.259866,100,17.372252
172.980607,100,17.56678
167.986886,100,17.75182
-5128.597362,100,24.568951
145.009476,100,24.750489
-41.782655,100,24.93742
188.052373,100,25.120477
161.994818,100,25.308519
152.662589,100,25.494564
180.305382,100,25.688603
199.631248,100,25.874651
137.157945,100,26.059188
191.720162,100,26.245234
180.418317,100,26.444293
176.353517,100,26.624051
205.738648,100,26.813111
193.94853,100,26.995162
97.880585,100,27.181216
173.627135,100,27.370261
180.581714,100,27.550793
176.005444,100,27.728847
150.550759,100,27.911901
159.332211,100,28.096946
187.684071,100,28.275998
179.555473,100,34.889774
175.131607,100,35.084822
201.11929,100,35.274581
191.618153,100,35.457098
151.441699,100,35.653076
180.956827,100,35.83313
205.69838,100,36.009183
174.633158,100,36.203243
174.217455,100,36.401296
205.584089,100,36.591348
188.960507,100,36.781389
184.68759,100,36.968574
188.577901,100,37.156624
-239.493224,100,37.346674
176.98471,100,37.531721
191.292921,100,37.718776
174.49086,100,37.903831
192.610556,100,38.090986
206.093661,100,38.275033
168.793776,100,38.457562
