#{"t_start": 1777621575.6419668, "env_id": "None"}
r,l,t
3810.647059,100,2.536574
2972.235294,100,2.643391
3814.294118,100,2.760027
4217.117647,100,2.867167
3850.235294,100,3.010567
4138.176471,100,3.143274
4256.352941,100,3.271544
2434.559008,100,3.515352
3942.411765,100,3.626882
1695.796697,100,3.729246
3835.823529,100,3.842022
4068.823529,100,3.945214
4381.294118,100,4.065269
3910.764706,100,4.189222
-2709.772799,100,4.310084
3974.941176,100,4.441271
3493.826762,100,4.566117
4146.176471,100,4.679937
3807.058824,100,4.792479
3672.705882,100,4.903749
4438.529412,100,8.103054
4285.117647,100,8.27263
4274.705882,100,8.392004
4435.941176,100,8.501853
4462.117647,100,8.624779
4111.588235,100,8.739444
3100.365364,100,8.842558
4218.411765,100,8.959407
4353.941176,100,9.068368
4765.588235,100,9.188174
404.916201,100,9.300929
3703.0,100,9.438073
4118.119071,100,9.582028
4032.411765,100,9.702783
3869.529412,100,9.81563
4023.529412,100,9.926559
3045.058824,100,10.034247
-1157.170624,100,10.144139
4518.058824,100,10.256505
3289.058824,100,10.489082
-3714.46047,100,13.035475
4430.058824,100,13.628736
4137.235294,100,13.73723
4011.588235,100,13.924561
5068.941176,100,14.026695
5261.0,100,14.123604
4631.882353,100,14.238029
4632.823529,100,14.353424
-7103.179174,100,14.478233
4321.0,100,14.578671
-2556.12599,100,14.680974
2962.823529,100,14.783238
4361.941176,100,14.887528
-2947.243688,100,14.988042
5388.647059,100,15.087161
3904.533219,100,15.192784
4171.352941,100,15.30653
5109.294118,100,15.43433
4699.235294,100,15.556195
3926.705882,100,15.660401
4800.599251,100,15.780169
4539.705882,100,18.933102
4919.588235,100,19.059455
4261.294118,100,19.163549
3919.647059,100,19.26737
4949.0,100,19.370443
5192.764706,100,19.47945
4786.882353,100,19.582649
4114.941176,100,19.688232
4013.083007,100,19.794752
-3099.121818,100,19.90525
5163.647059,100,20.006881
4455.705882,100,20.10999
4410.0,100,20.214634
4096.214059,100,20.321845
1252.923639,100,20.424002
2714.352941,100,20.530677
-5344.04957,100,20.634892
4433.294118,100,20.739016
2834.204255,100,20.838806
3701.470588,100,20.941907
4749.941176,100,24.026029
3184.470588,100,24.177943
5247.823529,100,24.291492
-4117.464381,100,24.409803
4852.0,100,24.515261
4969.117647,100,24.617416
5657.882353,100,24.725236
5525.789793,100,24.828432
5175.058824,100,24.940216
5087.235294,100,25.039379
5619.058824,100,25.14133
4238.058824,100,25.24576
5579.294118,100,25.356682
5313.176471,100,25.486177
4713.55618,100,25.634541
5221.764706,100,25.788822
5105.352941,100,25.893514
4873.058824,100,25.995237
5030.058824,100,26.104473
4390.702987,100,26.2061
-672.203561,100,26.309455
4843.529412,100,28.376502
2930.588235,100,28.520858
4389.114157,100,28.642247
4578.764706,100,29.647583
4361.529412,100,29.77871
5731.705882,100,29.908401
5601.294118,100,30.019133
2422.871841,100,30.121856
5553.764706,100,30.223643
5387.411765,100,30.335208
6073.647059,100,30.464481
4748.823529,100,30.57934
5204.058824,100,30.702723
4984.058824,100,30.807115
5631.823529,100,30.913507
4510.588235,100,31.016386
5205.411765,100,31.126176
5569.941176,100,31.236498
5266.999272,100,31.338965
3572.588235,100,31.471322
5376.117647,100,34.805205
5763.764706,100,34.95108
5434.941176,100,35.081244
5581.647059,100,35.191823
5103.0,100,35.298308
