#{"t_start": 1777570477.4255545, "env_id": "None"}
r,l,t
4105.588235,100,2.124861
4446.117647,100,2.250434
520.894087,100,2.370488
37.808134,100,2.482277
3905.176471,100,2.578667
4197.529412,100,2.68004
2983.647059,100,2.779907
3834.764706,100,2.87369
4268.352941,100,3.015589
4340.588235,100,3.116669
-4170.964012,100,3.227144
-3819.597225,100,3.335766
4017.764706,100,3.449883
4189.588235,100,3.544359
4620.235294,100,3.634744
325.73973,100,3.727026
3924.058824,100,3.82354
3557.882353,100,3.917454
3695.058824,100,4.010793
4679.882353,100,4.113155
3977.117647,100,5.969252
4154.117647,100,6.088036
4428.0,100,6.18709
4243.529412,100,6.277431
4483.176471,100,6.369302
4298.882353,100,6.461953
4013.117647,100,6.572828
4182.117647,100,6.722122
4219.176471,100,6.824748
4266.941176,100,6.951872
3764.411765,100,7.060062
4722.411765,100,7.16202
4021.647059,100,7.276758
4340.352941,100,7.385502
4092.529412,100,7.485672
4625.764706,100,7.583679
4791.882353,100,7.698726
4958.823529,100,7.805501
3977.764706,100,7.911963
4267.176471,100,8.018987
-793.400819,100,9.826652
4312.470588,100,9.930078
4596.647059,100,10.038307
-3767.985898,100,10.161886
4834.058824,100,10.258322
4139.823529,100,10.355386
3691.618419,100,10.445205
3046.705882,100,10.53448
4618.411765,100,10.626004
-5049.408168,100,10.715413
4437.588235,100,10.806736
4753.352941,100,10.898645
4410.588235,100,10.989526
2255.771913,100,11.07844
275.564714,100,11.169816
130.872797,100,11.260613
5143.823529,100,11.353543
3041.411765,100,11.44706
5267.529412,100,11.556059
4464.176471,100,11.650663
5327.647059,100,11.743781
4705.764706,100,13.562617
4665.411765,100,13.672869
211.386789,100,13.767004
4585.294118,100,13.857459
-2201.09659,100,13.959551
4779.470588,100,14.049361
2637.05426,100,14.141259
4453.235294,100,14.234798
4682.352941,100,14.325521
5364.294118,100,14.418577
-3873.530305,100,14.509694
5393.529412,100,14.60515
4693.058824,100,14.699789
2610.816893,100,14.852547
3001.647059,100,14.94535
5068.0,100,15.03925
-1469.194504,100,15.129511
4671.176471,100,15.22396
2058.843908,100,15.314719
785.069995,100,15.406739
4759.705882,100,17.187296
4136.235294,100,17.328135
4717.647059,100,17.431892
4969.882353,100,17.524761
4987.588235,100,17.615586
4814.45956,100,17.705889
-2803.146253,100,17.797655
3970.846542,100,17.890098
2906.588235,100,17.998559
5489.058824,100,18.100708
4808.058824,100,18.191287
5560.764706,100,18.285619
4009.455376,100,18.372335
4768.764706,100,18.465172
4600.705882,100,18.561044
4629.235294,100,18.652784
4367.235294,100,18.743618
5666.588235,100,18.836349
3180.470588,100,18.92321
4469.294118,100,19.015821
5295.647059,100,19.109166
5474.294118,100,20.815521
5720.0,100,20.947341
5041.764706,100,21.050158
6002.235294,100,21.14961
5479.588235,100,21.249342
