#{"t_start": 1777533396.2882693, "env_id": "None"}
r,l,t
3968.529412,100,10.441287
3549.588235,100,10.564687
3471.823529,100,10.715784
3327.058824,100,10.812761
3752.176471,100,10.910929
3352.882353,100,11.008776
4114.647059,100,11.099891
3511.117647,100,11.188835
2423.235294,100,11.27929
4124.588235,100,11.369931
3820.647059,100,11.478446
4450.0,100,11.605876
3695.235294,100,11.740315
3862.058824,100,11.865778
3268.647059,100,11.978352
3159.240506,100,12.082514
3554.588235,100,12.187936
3224.294118,100,12.287919
-378.966152,100,12.382535
3397.235294,100,12.47485
3292.235294,100,17.090393
4293.764706,100,17.215286
3631.588235,100,17.311802
3680.529412,100,17.408205
4509.705882,100,17.497659
3501.529412,100,17.583883
-356.060084,100,17.681775
4164.117647,100,17.77584
4009.176471,100,17.904933
3950.058824,100,18.007799
4287.235294,100,18.122224
3841.823529,100,18.259103
3924.588235,100,18.352122
3855.588235,100,18.450907
5057.823529,100,18.579854
3500.294118,100,18.673905
3472.574867,100,18.764502
3254.352941,100,18.863552
3980.352941,100,18.978104
3879.117647,100,19.076823
3976.0,100,20.989777
4422.823529,100,21.143993
4460.411765,100,21.258319
5145.764706,100,21.347557
5078.235294,100,21.44182
3896.647059,100,21.535136
-3301.424406,100,21.626642
4304.235294,100,21.715328
3822.559515,100,21.812335
4567.0,100,21.902958
4567.294118,100,21.994781
5074.058824,100,22.112166
4632.294118,100,22.23049
4233.235294,100,22.333745
3984.304249,100,22.430458
4554.058824,100,22.515884
4481.705882,100,22.610245
3864.588235,100,22.705593
4271.764706,100,22.82141
4321.882353,100,22.967687
4841.235294,100,23.062783
4574.176471,100,25.342041
5403.705882,100,25.510505
5063.352941,100,25.686886
4915.058824,100,25.862361
5380.176471,100,26.047699
4840.117647,100,26.158715
4327.588235,100,26.296492
4888.470588,100,26.443461
3900.856882,100,26.659656
1755.909751,100,26.810383
4009.117647,100,26.917922
4672.882353,100,27.02951
5260.117647,100,27.228082
3324.117647,100,27.34824
5248.588235,100,27.45926
3873.326702,100,27.570815
3181.764706,100,27.679356
4440.764706,100,27.797512
2903.618977,100,27.900493
2851.986383,100,28.017231
5508.823529,100,31.397992
-4131.012535,100,31.515857
5266.882353,100,31.624178
3062.905595,100,31.734573
4230.941176,100,31.835658
5133.352941,100,31.936484
5381.058824,100,32.034292
-1548.191091,100,32.129578
5569.588235,100,32.220922
2405.176471,100,32.317587
4162.529412,100,32.417489
4061.841233,100,32.507195
4910.176471,100,32.601239
4864.075921,100,32.701208
5237.117647,100,32.801998
697.162502,100,32.906402
5719.117647,100,32.999695
5521.647059,100,33.096539
5910.882353,100,33.190415
-3240.385203,100,33.286062
5734.294118,100,33.383503
4403.352941,100,35.236245
4680.470588,100,35.345541
5197.882353,100,35.438776
4711.411765,100,35.553446
6081.882353,100,35.655362
5535.470588,100,35.782147
5615.411765,100,35.888653
6273.647059,100,36.029863
5593.941176,100,36.13392
5467.058824,100,36.232102
5147.117647,100,36.330277
5861.588235,100,36.426212
5646.176471,100,36.517663
5860.588235,100,36.608654
5582.235294,100,36.70201
5812.235294,100,36.79548
5106.470588,100,36.884792
5835.058824,100,36.981959
3471.507254,100,37.076772
4765.59091,100,37.17033
5502.235294,100,39.467752
5510.882353,100,39.642761
5271.941176,100,39.773517
5381.411765,100,39.871945
5915.235294,100,39.983534
5437.235294,100,40.128531
6371.882353,100,40.244461
6317.941176,100,40.359785
-3943.225411,100,40.461306
5958.470588,100,40.579283
6281.588235,100,40.780604
5677.529412,100,40.946372
5416.705882,100,41.105167
6086.588235,100,41.235112
5002.521298,100,41.409307
4397.656653,100,41.574588
6106.058824,100,41.698118
2662.941176,100,41.812355
5673.666281,100,41.948445
5546.0,100,42.093666
6052.764706,100,42.244992
5072.265397,100,44.298729
6414.058824,100,44.452604
6172.235294,100,44.549522
6597.751002,100,44.645378
5818.058824,100,44.741295
6761.647059,100,44.841221
-3608.515083,100,44.941047
5342.117647,100,45.04119
4863.882353,100,45.141976
6203.941176,100,45.237798
5392.647059,100,45.329606
5253.176471,100,45.425549
5544.117647,100,45.52413
6297.823529,100,45.617433
5826.941176,100,45.716396
6267.588235,100,45.805511
2577.956278,100,45.899962
6342.352941,100,45.999608
5803.823529,100,46.094647
4094.140909,100,46.32896
6337.764706,100,49.701298
6150.352941,100,49.81716
6232.529412,100,49.925571
6516.588235,100,50.021914
6692.235294,100,50.123956
5946.941176,100,50.235315
6125.647059,100,50.346644
6228.117647,100,50.467973
5910.470588,100,50.606776
5185.411765,100,50.725858
5865.117647,100,50.932013
6244.764706,100,51.114867
7267.294118,100,51.215826
6984.0,100,51.318843
674.467021,100,51.421468
5908.941176,100,51.518342
5166.891551,100,51.61412
6712.058824,100,51.704886
6551.352941,100,51.8173
6710.529412,100,51.984495
4559.390444,100,52.113881
5030.868397,100,54.405616
6797.764706,100,54.802345
6028.947611,100,55.076186
30.324589,100,55.176359
5415.647059,100,55.28434
5899.882353,100,55.386177
6082.235294,100,55.48509
5963.853948,100,55.585063
6572.647059,100,55.679662
6519.529412,100,55.780517
6334.294118,100,55.880144
-2475.858724,100,55.973958
-5343.121199,100,56.066669
7441.882353,100,56.161256
6516.588235,100,56.256423
6080.411765,100,56.352065
7387.352941,100,56.444092
2725.294118,100,56.552059
5698.407277,100,56.661624
6832.705882,100,56.765526
804.217874,100,58.816523
728.19029,100,58.963946
-334.7445,100,59.069872
6806.176471,100,59.159165
6108.235294,100,59.248467
5955.470588,100,59.34178
6158.117647,100,59.454323
6753.529412,100,59.610747
6398.299603,100,59.721208
727.828245,100,59.81146
6624.411765,100,59.899653
6339.529412,100,59.99955
6475.647398,100,60.104966
5521.294118,100,60.21188
6735.882353,100,60.320365
6247.461126,100,60.416635
6835.117647,100,60.515802
5879.588235,100,60.658224
7234.882353,100,60.779215
7033.176471,100,60.871545
1482.856936,100,60.979931
-647.540196,100,62.92982
5171.823529,100,63.078186
7124.117647,100,63.495742
6715.352941,100,64.072406
2165.991979,100,64.192223
6608.0,100,64.286636
