#{"t_start": 1779320454.5151477, "env_id": "None"}
r,l,t
165.078622,100,6.945172
155.79,100,7.148169
152.056365,100,7.347043
160.994934,100,7.537348
149.971041,100,7.775035
-4666.680313,100,8.004906
186.20758,100,8.193142
-4994.771235,100,8.375789
166.01049,100,8.560967
132.658443,100,8.744618
152.255148,100,8.928627
162.256341,100,9.110313
184.111015,100,9.280371
167.522776,100,9.46377
152.955369,100,9.650732
163.72353,100,9.819827
146.108048,100,10.00557
164.09519,100,10.181726
169.817013,100,10.36627
151.294139,100,10.545084
173.237115,100,17.059247
184.587334,100,17.240458
168.80616,100,17.428918
-1723.639888,100,17.613614
162.098013,100,17.804448
169.909262,100,17.993393
186.982412,100,18.177444
159.638575,100,18.355284
147.218683,100,18.536957
194.085057,100,18.734549
142.690616,100,18.927775
174.542611,100,19.114657
200.733419,100,19.309413
160.128821,100,19.489776
144.940651,100,19.668156
175.669865,100,19.844035
172.188168,100,20.026978
126.073356,100,20.204375
195.674031,100,20.392522
170.706621,100,20.578547
173.345686,100,27.287242
144.12122,100,27.469022
192.394763,100,27.65015
154.313949,100,27.832721
140.315894,100,28.032036
159.93009,100,28.230112
178.689704,100,28.430337
200.994175,100,28.609922
161.712169,100,28.801005
184.436506,100,28.999103
185.289933,100,29.251767
189.860496,100,29.517969
191.661724,100,29.788137
-245.739847,100,29.999058
172.31251,100,30.188771
205.92422,100,30.37931
163.150238,100,30.560384
164.591233,100,30.749451
-341.627298,100,30.935737
180.860113,100,31.116862
189.79542,100,31.305732
-3138.563205,100,37.904945
-6832.570886,100,38.085548
206.193687,100,38.268104
169.7138,100,38.46085
190.028121,100,38.636506
180.82474,100,38.82189
200.130304,100,39.00786
159.456027,100,39.186586
180.45786,100,39.36692
173.274003,100,39.552083
214.399874,100,39.726478
189.282491,100,39.904965
163.129345,100,40.082039
185.626621,100,40.265833
197.063913,100,40.466228
-1636.211511,100,40.653633
198.597309,100,40.840379
153.460713,100,41.0198
170.049885,100,41.199886
176.910184,100,41.387515
212.885549,100,48.030607
173.012613,100,48.222507
94.551003,100,48.417654
186.762722,100,48.597404
192.566902,100,48.792917
189.367324,100,48.989753
172.583151,100,49.179023
180.194163,100,49.377261
204.20009,100,49.565702
173.751995,100,49.742514
