#{"t_start": 1779490539.142788, "env_id": "None"}
r,l,t
194.67168,100,1.913766
-3765.754592,100,2.094765
146.808008,100,2.260765
180.109761,100,2.448766
143.916282,100,2.614766
175.938304,100,2.785764
-1872.49535,100,2.970766
185.814421,100,3.147767
197.101882,100,3.327765
158.199917,100,3.493765
112.515353,100,3.675768
177.039085,100,3.850766
-4536.349332,100,4.019763
179.131104,100,4.202765
115.114739,100,4.372767
-12.130818,100,4.563765
172.039254,100,4.747765
114.765905,100,4.930764
170.610052,100,5.117762
163.871701,100,5.289779
34.711472,100,11.280766
163.961141,100,11.472765
141.626235,100,11.639769
172.410711,100,11.814766
156.004418,100,11.992764
145.179802,100,12.166765
150.209824,100,12.353765
190.708342,100,12.575765
155.186667,100,12.757767
175.646297,100,12.929769
132.175624,100,13.107767
179.320374,100,13.273765
159.080843,100,13.458766
185.450055,100,13.628767
181.116002,100,13.819763
170.952384,100,13.990764
166.027442,100,14.161765
165.940432,100,14.335768
177.98454,100,14.515769
164.26675,100,14.689766
177.982547,100,20.608767
-6.96009,100,20.773765
211.168321,100,20.952762
193.963126,100,21.141767
33.322363,100,21.315765
218.768918,100,21.500765
194.468524,100,21.688787
200.133276,100,21.867766
146.002202,100,22.045763
179.11508,100,22.211769
169.554779,100,22.394765
181.689864,100,22.565762
200.504333,100,22.738765
140.179347,100,22.908764
14.284469,100,23.083769
173.371001,100,23.266765
135.524423,100,23.439767
173.571568,100,23.618764
186.163996,100,23.784767
180.239794,100,23.971767
219.810515,100,24.149769
193.811922,100,30.010766
-624.232499,100,30.177762
183.619907,100,30.349766
208.956627,100,30.531765
-2568.63199,100,30.732795
197.991181,100,30.914763
205.760681,100,31.101767
179.61282,100,31.292763
192.425162,100,31.455767
188.995827,100,31.642765
196.178946,100,31.812765
190.458035,100,31.989794
206.637856,100,32.159765
188.524119,100,32.337766
193.32064,100,32.520779
179.743855,100,32.692765
193.664445,100,32.878767
169.303424,100,33.048764
207.949778,100,33.231766
178.216286,100,33.419795
208.3355,100,39.36477
194.744265,100,39.543771
180.836065,100,39.729763
-16718.396181,100,39.922766
197.912167,100,40.092766
195.239848,100,40.288764
204.113558,100,40.464766
164.885737,100,40.638766
183.054064,100,40.817766
212.926109,100,40.999766
185.659555,100,41.174766
169.46496,100,41.353765
201.158371,100,41.528766
194.112835,100,41.704769
201.660979,100,41.877764
-731.758902,100,42.060765
184.921167,100,42.243769
-2496.409747,100,42.428766
206.386104,100,42.615764
172.381372,100,42.795767
123.711856,100,42.957764
201.488459,100,48.987765
165.721833,100,49.173767
161.478676,100,49.339767
-134.135916,100,49.525795
169.724549,100,49.693762
-8.344786,100,49.875766
200.088779,100,50.04977
163.940412,100,50.22677
158.064603,100,50.408765
189.497839,100,50.576769
200.70411,100,50.749765
-210.095492,100,50.914766
178.093207,100,51.092767
190.121283,100,51.270766
157.866737,100,51.445769
-17548.6074,100,51.645769
161.114997,100,51.833768
192.985123,100,52.003766
199.920123,100,52.180766
-614.393377,100,52.347769
169.627341,100,58.24577
202.308115,100,58.432765
186.825487,100,58.597769
176.623806,100,58.781764
195.375334,100,58.959765
180.725695,100,59.137767
103.089417,100,59.307765
190.280453,100,59.483764
154.327352,100,59.658782
172.317736,100,59.823765
182.54634,100,60.011767
200.742923,100,60.181765
184.74052,100,60.361762
215.361472,100,60.545765
199.864448,100,60.731766
199.007086,100,60.909765
186.447528,100,61.084767
-529.389382,100,61.261769
197.743088,100,61.447764
187.344662,100,61.625765
173.37534,100,61.807766
203.211107,100,67.686767
185.663247,100,67.867765
193.853676,100,68.057766
-4119.532303,100,68.225768
207.724304,100,68.398764
212.298068,100,68.580769
195.321362,100,68.745768
201.999872,100,68.920764
-1724.128608,100,69.091762
219.533235,100,69.270771
194.901135,100,69.432767
-4041.599398,100,69.624763
173.626249,100,69.812762
206.736355,100,69.992762
195.742549,100,70.185765
189.552972,100,70.344765
204.621175,100,70.531766
203.592246,100,70.700769
195.968235,100,70.869766
194.526114,100,71.067767
218.027683,100,77.133795
202.220651,100,77.308769
-1190.042363,100,77.483763
206.757165,100,77.658766
166.786042,100,77.822763
201.645162,100,78.001765
180.841873,100,78.168771
184.162949,100,78.332764
190.638294,100,78.512765
-1117.049337,100,78.681765
176.496755,100,78.856766
187.23712,100,79.028767
194.253206,100,79.217769
177.061844,100,79.387765
201.107467,100,79.571768
185.757319,100,79.747766
70.256646,100,79.911766
183.897495,100,80.088769
190.810959,100,80.262765
-528.09911,100,80.453763
208.412058,100,80.629767
200.738187,100,86.641764
194.232021,100,86.823769
-3249.44308,100,86.99777
192.83927,100,87.170765
40.466693,100,87.360765
179.438241,100,87.542764
170.478934,100,87.716767
179.998361,100,87.894767
-236.298213,100,88.068767
179.256935,100,88.245765
204.65772,100,88.414765
193.399223,100,88.599764
217.460719,100,88.785775
200.615895,100,88.972766
26.978418,100,89.159767
-6641.933091,100,89.332772
176.150939,100,89.509766
205.435089,100,89.685765
192.568747,100,89.854764
193.106016,100,90.026765
152.339226,100,96.136766
-2217.455631,100,96.325766
168.66041,100,96.514764
-4485.396401,100,96.681765
190.767281,100,96.856765
206.251455,100,97.039768
168.02826,100,97.214765
180.028156,100,97.383769
180.369714,100,97.56277
189.503036,100,97.74777
194.479882,100,97.917765
204.515809,100,98.099765
178.184768,100,98.287764
189.659304,100,98.45577
-7884.091175,100,98.628765
171.591689,100,98.796767
-11116.631446,100,98.965765
187.357727,100,99.140766
206.42071,100,99.332766
189.860414,100,99.529764
-494.367774,100,99.705765
117.889618,100,105.758766
199.989003,100,105.930766
174.958853,100,106.111765
167.030999,100,106.278765
175.083881,100,106.450769
169.062106,100,106.618766
178.848608,100,106.806764
195.873534,100,106.997763
167.842459,100,107.183764
188.88462,100,107.377784
-425.14214,100,107.542769
194.578953,100,107.719765
169.035232,100,107.897765
183.276701,100,108.074766
163.643161,100,108.252766
176.447419,100,108.439766
-4138.797904,100,108.607765
186.104357,100,108.777765
212.060729,100,108.941765
199.045374,100,109.126765
180.672349,100,115.07077
201.256273,100,115.252764
191.417118,100,115.415764
199.420122,100,115.595766
199.500903,100,115.761766
148.959711,100,115.953769
182.78055,100,116.148784
188.497045,100,116.335764
201.360008,100,116.509764
193.258419,100,116.670765
-1010.086687,100,116.852765
202.465569,100,117.02477
188.261014,100,117.197767
-568.077829,100,117.380764
-3352.446212,100,117.548795
209.982472,100,117.729765
-5227.479997,100,117.908767
194.905941,100,118.092765
-56.839303,100,118.267767
193.700382,100,118.432769
206.453814,100,118.615767
196.503969,100,124.447766
-1163.267892,100,124.621772
184.078479,100,124.795766
186.06381,100,124.98477
-7879.76122,100,125.172774
185.602887,100,125.353769
-341.571524,100,125.542768
181.074421,100,125.703769
165.578011,100,125.878768
-2566.909935,100,126.054765
-3878.720737,100,126.239765
203.022956,100,126.415766
188.528815,100,126.592764
178.490924,100,126.764771
156.367882,100,126.937767
-2889.920792,100,127.125769
186.784888,100,127.297768
189.431651,100,127.468763
203.020687,100,127.640765
194.868602,100,127.810766
190.248837,100,133.759771
216.845676,100,133.945767
169.774829,100,134.109766
191.360544,100,134.286764
-2044.61698,100,134.479765
174.658039,100,134.654767
189.929426,100,134.837769
184.782379,100,135.019768
160.248242,100,135.181767
180.568677,100,135.356765
-2542.700093,100,135.522764
194.44863,100,135.705765
191.330506,100,135.873763
169.356408,100,136.049766
163.862819,100,136.215768
169.508012,100,136.394783
131.749914,100,136.559767
185.261706,100,136.750765
-256.654392,100,136.950766
191.765016,100,137.125767
163.020005,100,137.304765
189.306279,100,143.219765
199.947431,100,143.391767
174.535091,100,143.571769
143.385041,100,143.743766
169.336261,100,143.919765
195.179107,100,144.104769
-751.611265,100,144.268765
185.467011,100,144.453766
-9093.351916,100,144.633766
185.17613,100,144.81377
200.884721,100,144.996765
171.493902,100,145.220763
-347.931499,100,145.385766
160.507039,100,145.564769
182.153199,100,145.723767
183.42306,100,145.918763
196.531812,100,146.109765
196.769583,100,146.283765
199.121962,100,146.471766
180.093065,100,146.64277
173.576769,100,152.495765
179.43249,100,152.680764
181.214629,100,152.849764
205.712017,100,153.026768
201.754806,100,153.19577
187.507036,100,153.367762
197.880858,100,153.536766
201.416909,100,153.715762
181.499173,100,153.894765
177.617741,100,154.070765
174.537607,100,154.250766
-13350.885891,100,154.427767
-139.03922,100,154.60377
177.081971,100,154.780766
207.437711,100,154.963764
-3227.556025,100,155.146781
-333.446769,100,155.326764
109.156121,100,155.517765
124.32433,100,155.687766
187.335142,100,155.854767
-426.69957,100,156.035765
215.937629,100,161.87577
212.857745,100,162.060765
215.80105,100,162.239762
205.864827,100,162.430763
174.744864,100,162.612766
189.512521,100,162.798765
116.067645,100,162.977765
181.358075,100,163.159767
-2514.942314,100,163.336763
200.606777,100,163.518767
180.013338,100,163.694766
175.933439,100,163.882766
202.933633,100,164.036765
-4601.340324,100,164.213766
171.76516,100,164.375765
214.264319,100,164.546766
186.456955,100,164.710766
176.070066,100,164.894767
175.53524,100,165.068798
202.13719,100,165.246764
-2883.360978,100,171.105766
85.20878,100,171.273763
188.034361,100,171.459766
175.913546,100,171.656765
196.988924,100,171.83577
198.615289,100,172.026765
-606.004864,100,172.19777
137.363582,100,172.382762
204.199833,100,172.567766
208.807061,100,172.748766
179.459075,100,172.929764
196.154638,100,173.103764
178.972566,100,173.26977
223.574778,100,173.447767
203.788716,100,173.617764
151.302051,100,173.797762
200.166831,100,173.971767
202.345387,100,174.152765
183.017427,100,174.324772
-3341.821154,100,174.499765
165.931384,100,174.676763
150.966984,100,180.743764
123.893332,100,180.929769
185.364922,100,181.108761
140.006781,100,181.293764
198.075794,100,181.463765
190.985114,100,181.639762
181.477174,100,181.816763
151.28775,100,181.992767
191.634249,100,182.176764
179.285542,100,182.348777
-354.282282,100,182.527767
-3954.107575,100,182.702766
205.577011,100,182.868769
193.956566,100,183.044766
190.494047,100,183.208765
197.421647,100,183.387764
-2392.067062,100,183.558766
172.255878,100,183.744765
179.57453,100,183.916768
189.546376,100,184.085765
156.048496,100,190.11177
178.239311,100,190.301764
176.903788,100,190.467766
190.071825,100,190.643764
176.616258,100,190.824766
179.538036,100,191.020764
192.689868,100,191.200765
158.799517,100,191.377767
215.931296,100,191.56077
166.790226,100,191.726765
164.126701,100,191.902765
177.378603,100,192.087765
183.883692,100,192.258765
163.498236,100,192.453765
181.865431,100,192.647767
179.472734,100,192.829769
177.463718,100,193.003767
175.984539,100,193.168769
185.877249,100,193.353764
-10.060506,100,193.528764
178.33579,100,193.697769
154.487063,100,199.747796
33.323503,100,199.93577
192.706233,100,200.125764
208.726502,100,200.299764
-1583.675406,100,200.486768
-4673.093547,100,200.646765
101.845402,100,200.821764
188.640289,100,200.992766
127.714663,100,201.175766
205.591266,100,201.365763
197.024851,100,201.552766
211.375529,100,201.744762
176.71212,100,201.934766
180.567979,100,202.102763
-4101.3918,100,202.289766
188.364515,100,202.473765
162.790567,100,202.636764
187.072111,100,202.817782
175.248836,100,202.993765
171.601345,100,203.167765
189.21341,100,209.082766
187.255401,100,209.251765
182.152206,100,209.432771
-50.564297,100,209.614772
-3122.699474,100,209.786764
134.392389,100,209.966767
174.655545,100,210.142764
200.9455,100,210.321764
183.607984,100,210.495765
188.428713,100,210.688765
201.103813,100,210.868763
202.473283,100,211.047769
-4756.041787,100,211.230762
-793.623096,100,211.417767
176.866806,100,211.578763
-8512.898408,100,211.765765
172.398789,100,211.937764
172.063243,100,212.125765
177.165615,100,212.300764
205.443973,100,212.466768
-1020.658431,100,212.646766
189.878687,100,218.730769
175.17357,100,218.899767
140.733247,100,219.074763
-90.838311,100,219.244764
195.421998,100,219.410764
197.479137,100,219.595763
198.047511,100,219.776767
-327.491584,100,219.962764
-6749.778781,100,220.148768
190.408532,100,220.322766
195.596806,100,220.495764
211.55431,100,220.663775
185.481081,100,220.838763
211.127819,100,221.017769
185.189228,100,221.188766
133.563543,100,221.371769
198.369643,100,221.536766
208.335326,100,221.710769
121.580295,100,221.885765
169.853149,100,222.069763
193.949399,100,228.268764
156.511536,100,228.433762
170.275544,100,228.60877
206.45939,100,228.783767
185.298524,100,228.962769
-1450.04651,100,229.12477
-436.253118,100,229.316766
173.606195,100,229.500769
184.362496,100,229.666766
157.282391,100,229.858766
210.063158,100,230.043776
193.947354,100,230.214767
173.6799,100,230.388765
-3321.991082,100,230.561764
-4057.204868,100,230.736769
201.553466,100,230.908765
-2503.031326,100,231.084765
160.147304,100,231.264766
178.204949,100,231.444764
232.39638,100,231.632766
190.370897,100,231.810767
188.817973,100,237.828764
185.368444,100,238.012767
184.465181,100,238.179769
171.633101,100,238.371769
-6861.9412,100,238.556763
197.922277,100,238.745765
184.637613,100,238.921766
185.193515,100,239.087767
-565.633108,100,239.283765
191.927838,100,239.455771
166.564791,100,239.621765
165.266931,100,239.790765
217.401777,100,239.953766
170.29763,100,240.128765
187.442256,100,240.311764
183.831126,100,240.499769
190.005449,100,240.690766
173.19285,100,240.871767
203.577073,100,241.058762
204.777726,100,241.241765
179.350831,100,247.186794
181.868276,100,247.354764
199.532647,100,247.538767
178.835273,100,247.718791
190.115956,100,247.890767
153.34367,100,248.067764
169.578227,100,248.248766
193.676217,100,248.437769
193.37754,100,248.617765
198.514061,100,248.786767
189.723003,100,248.958766
-95.236227,100,249.130767
199.090351,100,249.311767
188.189429,100,249.488766
181.536543,100,249.677763
